,date,color,numpixel,percentage
4,2/9/2024 5,#4f667c,539748,4.426788076341648
5,2/9/2024 5,#5292de,1780463,14.602615255207022
6,2/9/2024 5,#5c80a3,214383,1.7582799902368353
7,2/9/2024 5,#6a9cd7,117498,0.9636696113630638
8,2/9/2024 5,#6cb1f6,1430826,11.735038344041321
9,2/9/2024 5,#9dc7e9,588490,4.826549639917696
0,02/10/2024 1,#0d161b,1607524,13.184241675065087
1,02/10/2024 1,#34363b,1062046,8.710458527546821
2,02/10/2024 1,#47506f,251735,2.064625522276812
3,02/10/2024 1,#4f4d5f,2140294,17.55379910451835
4,02/10/2024 1,#4f84e0,3124685,25.627363696250104
5,02/10/2024 1,#698cc3,116567,0.956033937
6,02/10/2024 1,#6b6458,1485548,12.18384537456958
7,02/10/2024 1,#709bd5,1197501,9.821403966679263
8,02/10/2024 1,#82a9d2,449894,3.6898430282606873
9,02/10/2024 1,#a6c1d4,756974,6.208385167
0,02/10/2024 2,#111a13,1313130,10.769744819223986
1,02/10/2024 2,#3d3d40,1014757,8.322613864218527
2,02/10/2024 2,#4e83db,2199844,18.042203378264887
3,02/10/2024 2,#535467,1612962,13.22884188397581
4,02/10/2024 2,#605d6e,1122168,9.203554106827916
5,02/10/2024 2,#69636d,1257984,10.317460317460316
6,02/10/2024 2,#7398cd,804147,6.595278447026959
7,02/10/2024 2,#7c7a7c,1453356,11.919820011337869
8,02/10/2024 2,#88abce,642921,5.272970009763164
9,02/10/2024 2,#adc5cf,771499,6.327513161900562
0,02/10/2024 3,#2a2d1e,1136066,9.317539708784748
1,02/10/2024 3,#524f41,1793193,14.707021408100276
2,02/10/2024 3,#6c6e5a,1008153,8.268450609410431
3,02/10/2024 3,#9c8983,1912691,15.687094185668094
4,02/10/2024 3,#ac9f9d,1516458,12.437356308264047
5,02/10/2024 3,#baacab,359872,2.951520114218527
6,02/10/2024 3,#bccde7,1227555,10.067894345238097
7,02/10/2024 3,#c3d2ea,1334716,10.94678419207189
8,02/10/2024 3,#cad5e9,1095463,8.984530830078945
9,02/10/2024 3,#d8e2f2,808601,6.6318082981649455
0,02/10/2024 4,#030408,1277948,10.481196722516167
1,02/10/2024 4,#0c0b0d,1540361,12.633398749160158
2,02/10/2024 4,#12151a,1444000,11.84308599983203
3,02/10/2024 4,#1a1b1d,1045956,8.578495055
4,02/10/2024 4,#26211b,962657,7.895311384584698
5,02/10/2024 4,#38332a,1185493,9.722919356785924
6,02/10/2024 4,#594631,1420641,11.651505220143612
7,02/10/2024 4,#6b5742,1486503,12.19167788643235
8,02/10/2024 4,#7c664e,1264556,10.371361121609137
9,02/10/2024 4,#a18b70,564653,4.6310485035063405
0,02/10/2024 5,#030204,1282454,10.518153055975477
1,02/10/2024 5,#08090d,1271319,10.426828428130513
2,02/10/2024 5,#0f0e0e,1340055,10.990572444255479
3,02/10/2024 5,#121419,1153013,9.456531937620728
4,02/10/2024 5,#1c1a18,1171393,9.607277035042411
5,02/10/2024 5,#2b2925,1374089,11.26970512356177
6,02/10/2024 5,#4d3e2d,1258664,10.323037393969933
7,02/10/2024 5,#68533e,1527171,12.525219868039809
8,02/10/2024 5,#77614a,1296744,10.635353678508439
9,02/10/2024 5,#978269,517866,4.247321035
0,02/11/2024 1,#28231d,1274813,10.455484759490217
1,02/11/2024 1,#595245,1499207,12.295870798164946
2,02/11/2024 1,#656f51,1261387,10.345370304757706
3,02/11/2024 1,#82716b,1226318,10.057748986940455
4,02/11/2024 1,#8f969a,884108,7.251085233476107
5,02/11/2024 1,#927c76,1162486,9.534225534349543
6,02/11/2024 1,#b1a0a1,1442944,11.834425128075923
7,02/11/2024 1,#bbb9c6,1569456,12.872023809523808
8,02/11/2024 1,#c6cad8,1082260,8.876245328378266
9,02/11/2024 1,#d6ddea,789789,6.477520116843033
0,02/11/2024 2,#070503,1410411,11.567603025006298
1,02/11/2024 2,#16140e,1551099,12.72146734851348
2,02/11/2024 2,#2b1e12,1224724,10.044675663475267
3,02/11/2024 2,#2e2b1d,985383,8.081700562169312
4,02/11/2024 2,#3e3b2d,1157770,9.495546868438733
5,02/11/2024 2,#3f2c1e,1205878,9.890108628327875
6,02/11/2024 2,#4e443b,1226350,10.058011437599731
7,02/11/2024 2,#56524d,1537590,12.610672162383471
8,02/11/2024 2,#5e5a55,1425474,11.69114347
9,02/11/2024 2,#7a736a,468089,3.839070832808432
